Customer_Id,YearMonth,Basket_Size,Basket_Items
1000,2024-04,5,1125|1526|2065|4588|4948
1001,2024-04,4,1177|1180|1241|1402
1001,2024-05,5,1176|1178|1180|1181|1241
1002,2024-04,1,1151
1002,2024-12,2,4155|4387
1003,2024-04,1,1161
1003,2024-05,4,1973|2795|2862|4622
1003,2024-06,2,2921|2949
1003,2024-07,1,2949
1003,2024-08,1,2949
1003,2025-01,2,1973|3148
1003,2025-02,6,1442|1962|2432|2949|5248|5353
1003,2025-03,1,5419
1003,2025-05,2,5468|5486
1004,2024-04,2,1160|2951
1004,2024-05,2,1160|1502
1004,2024-06,1,2951
1005,2024-04,7,1014|1020|1028|1115|1189|1283|1701
1005,2024-10,7,1024|1174|1175|1177|1181|1241|2380
1005,2025-06,7,1014|1020|1028|1115|1189|1283|1701
1006,2024-04,1,4989
1006,2024-07,1,5145
1007,2024-04,1,2371
1007,2025-05,1,1006
1008,2024-04,1,3153
1008,2024-06,1,3153
1009,2024-04,2,4990|4991
1009,2024-05,4,1198|1238|1659|1705
101,2020-04,1,1001
101,2020-05,4,1001|1186|1316|1317
101,2020-07,5,1542|1543|1544|1545|1546
101,2020-08,9,1001|1542|1543|1757|1758|1781|1782|1783|1784
101,2020-09,2,1186|1317
101,2020-10,2,1758|1943
101,2020-11,1,2063
101,2020-12,7,1001|1758|1784|2113|2114|2115|2126
101,2021-01,3,1758|1943|2233
101,2021-02,6,1001|1758|1783|1784|1943|2315
101,2021-03,10,1001|1757|1758|1781|1784|2389|2460|2461|2462|2463
101,2021-04,1,2517
101,2021-06,9,1001|1140|1164|1269|1784|2315|2462|2463|2571
101,2021-07,8,1001|1757|1758|1781|1784|2114|2705|2706
101,2021-08,4,1001|1758|2462|2463
101,2021-10,7,1001|1758|2115|2462|2463|2979|2980
101,2021-11,11,1001|1551|1758|1781|1784|2315|2462|2463|2517|3043|3076
101,2021-12,2,2462|2463
101,2022-01,6,1001|1757|1781|2517|3185|3186
101,2022-02,9,1001|1164|1269|1758|1784|2126|2463|2517|2571
101,2022-03,10,1044|1166|1365|1757|1758|1781|1784|2315|2517|3185
101,2022-05,5,1001|1758|1784|2315|2529
101,2022-07,5,1001|1757|1758|2047|2529
101,2022-08,6,1366|1784|2571|2980|3811|3812
101,2022-09,5,1001|1757|1758|1781|2571
101,2022-10,2,2980|3953
101,2022-12,2,1963|4086
101,2023-01,14,1001|1120|1317|1544|1545|1546|1758|1784|2115|2460|2705|2706|3185|4150
101,2023-02,5,1316|1542|1781|4172|4187
101,2023-03,5,1001|1758|1781|1784|2706
101,2023-05,7,1001|1545|1546|1784|2705|2980|3185
101,2023-06,2,1542|1781
101,2023-07,3,2315|2517|2529
101,2023-09,2,1781|3185
101,2023-11,4,1001|1186|1551|4654
101,2023-12,3,1001|1784|4700
101,2024-01,4,1781|1784|2315|4654
101,2024-02,5,1001|1757|1784|2315|4819
101,2024-03,5,1784|3185|4086|4187|4921
101,2024-04,7,1544|1545|2114|2115|3812|3953|4956
101,2024-05,7,1544|1546|2684|3305|4432|5003|5019
101,2024-07,5,1001|1758|1784|5113|5114
101,2024-09,6,1542|1546|2114|2115|3812|4956
101,2024-11,15,1542|1544|1546|2114|2115|2462|2463|2705|2706|2980|3812|3953|4956|5003|5253
101,2024-12,1,5282
101,2025-01,12,1001|1544|1758|1781|1784|2705|2706|3185|4956|5003|5114|5336
101,2025-02,7,1542|1544|1546|2980|4956|5003|5113
101,2025-03,10,1316|1317|1758|1781|1784|2462|2463|2705|2706|5425
101,2025-04,4,1001|1317|1545|2980
101,2025-05,5,2126|2315|2462|2463|5484
1010,2024-05,1,1639
1010,2024-09,1,2482
1011,2024-05,1,1639
1012,2024-05,8,1160|1161|3624|4995|4996|4997|4998|4999
1012,2024-09,8,1160|1161|1370|4959|4960|4961|4962|5211
1013,2024-05,1,4751
1014,2024-05,4,1103|1127|1132|1284
1014,2024-09,2,1132|1284
1014,2024-12,4,3435|3986|4158|4430
1014,2025-02,1,5377
1015,2024-05,1,1903
1016,2024-05,1,5004
1017,2024-05,2,1777|2865
1017,2024-06,2,1668|5074
1018,2024-05,1,1189
1019,2024-05,1,1244
102,2020-04,62,1002|1003|1004|1005|1006|1045|1046|1047|1048|1049|1050|1051|1052|1053|1054|1055|1056|1057|1058|1059|1060|1061|1062|1063|1064|1065|1066|1067|1068|1069|1070|1071|1072|1073|1074|1075|1076|1077|1078|1079|1080|1081|1082|1083|1084|1085|1086|1087|1088|1089|1090|1091|1092|1093|1094|1095|1096|1097|1098|1099|1100|1101
102,2020-05,54,1002|1004|1005|1046|1047|1048|1054|1055|1058|1065|1067|1080|1084|1087|1092|1096|1318|1319|1320|1321|1322|1323|1324|1325|1326|1327|1328|1329|1330|1331|1332|1333|1334|1335|1336|1337|1338|1339|1340|1341|1342|1343|1344|1345|1346|1347|1348|1349|1350|1351|1352|1353|1354|1355
102,2020-06,85,1005|1046|1048|1049|1050|1052|1053|1054|1057|1058|1062|1063|1066|1067|1068|1069|1077|1081|1083|1086|1091|1092|1093|1100|1190|1325|1329|1330|1336|1338|1339|1340|1342|1343|1345|1348|1349|1350|1351|1352|1353|1354|1355|1356|1357|1358|1359|1360|1427|1428|1429|1430|1431|1432|1433|1434|1435|1453|1454|1455|1456|1457|1458|1459|1460|1461|1462|1463|1464|1465|1466|1467|1468|1469|1470|1471|1472|1473|1474|1475|1476|1477|1478|1479|1480
102,2020-07,51,1002|1005|1049|1051|1055|1060|1061|1063|1064|1066|1067|1069|1083|1084|1090|1099|1100|1101|1190|1326|1330|1336|1343|1345|1346|1351|1352|1353|1354|1356|1429|1432|1454|1460|1471|1474|1477|1562|1581|1672|1673|1674|1675|1676|1677|1678|1679|1680|1681|1682|1683
102,2020-08,25,1048|1051|1052|1053|1054|1060|1062|1063|1072|1092|1325|1328|1334|1343|1345|1434|1453|1477|1566|1571|1580|1601|1672|1792|1793
102,2020-09,41,1003|1049|1060|1063|1067|1071|1085|1092|1330|1345|1351|1352|1427|1429|1433|1434|1455|1463|1479|1580|1581|1594|1597|1601|1680|1681|1682|1793|1797|1798|1799|1800|1801|1802|1891|1892|1893|1894|1895|1896|1897
102,2020-10,37,1004|1005|1048|1052|1087|1089|1091|1092|1095|1330|1333|1338|1342|1345|1351|1429|1457|1471|1473|1477|1571|1572|1580|1581|1596|1597|1599|1601|1801|1802|1876|1878|1892|1976|1977|1978|1981
102,2020-11,39,1005|1053|1054|1057|1060|1062|1068|1071|1078|1079|1326|1343|1353|1429|1461|1463|1468|1471|1477|1564|1571|1584|1599|1680|1681|1682|1876|1978|1981|2077|2078|2079|2080|2081|2082|2083|2084|2085|2086
102,2020-12,58,1005|1060|1068|1071|1078|1079|1093|1097|1197|1325|1351|1354|1356|1432|1460|1463|1468|1470|1475|1476|1563|1571|1572|1573|1581|1582|1591|1594|1599|1600|1682|1683|1799|1876|1879|1882|1894|1981|1995|2079|2082|2085|2098|2099|2100|2166|2167|2168|2169|2170|2171|2172|2173|2174|2219|2220|2221|2222
102,2021-01,50,1054|1060|1061|1071|1077|1078|1085|1190|1330|1338|1342|1343|1351|1353|1475|1479|1480|1564|1572|1573|1574|1575|1580|1584|1585|1599|1600|1793|1879|1882|1891|1897|1995|2077|2082|2086|2168|2170|2280|2281|2282|2283|2284|2285|2286|2287|2288|2289|2290|2291
102,2021-02,77,1005|1050|1052|1054|1055|1058|1060|1061|1062|1063|1078|1079|1080|1099|1190|1319|1325|1326|1339|1343|1345|1349|1358|1429|1434|1459|1461|1463|1470|1471|1476|1477|1478|1571|1572|1573|1580|1581|1596|1597|1598|1599|1600|1601|1677|1681|1797|1876|1879|1880|1881|1882|1894|1978|2170|2173|2174|2280|2283|2284|2291|2331|2332|2333|2334|2335|2356|2360|2361|2362|2363|2364|2365|2366|2367|2368|2369
102,2021-03,89,1002|1004|1050|1051|1052|1053|1054|1057|1060|1063|1077|1078|1190|1325|1328|1330|1334|1340|1342|1343|1346|1348|1349|1358|1359|1429|1434|1460|1461|1463|1471|1475|1477|1478|1479|1480|1563|1571|1572|1573|1574|1580|1581|1582|1583|1585|1586|1591|1593|1595|1675|1676|1677|1679|1680|1683|1793|1876|1880|1881|1981|2082|2086|2174|2281|2284|2285|2331|2335|2363|2364|2365|2415|2428|2464|2465|2466|2467|2468|2469|2470|2471|2472|2473|2474|2475|2476|2477|2478
102,2021-04,39,1003|1005|1064|1078|1253|1258|1318|1322|1326|1339|1358|1433|1434|1459|1460|1468|1471|1474|1475|1571|1579|1580|1582|1585|1592|1679|1680|1876|1995|2139|2173|2360|2361|2368|2547|2548|2549|2550|2551
